데이터,라벨,1 평어,2 왕,3 신하
상언(上言)하였다,1,,,
없어졌습니다,3,,,
것입니다,3,,,
따랐다,1,,,
사면(赦免)하였다,1,,,
하교(下敎)하였다,1,,,
"""1",2,,,
것이다,2,,,
한다,2,,,
죄이겠는가,2,,,
것이다,2,,,
1,2,,,
인정(仁政)이다,2,,,
바로잡겠는가,2,,,
있겠는가,2,,,
적어졌다,1,,,
있다,1,,,
하였다,1,,,
것이다,1,,,
것이다,1,,,
1,1,,,
여긴다,1,,,
것이다,1,,,
1,1,,,
따른다,1,,,
않는다,1,,,
것이다,1,,,
들었다,1,,,
있었다,1,,,
상서(上書)하였다,1,,,
것입니다,3,,,
것입니다,3,,,
법입니다,3,,,
초기이겠습니까,3,,,
것입니다,3,,,
되었습니다,3,,,
것입니다,3,,,
이것입니다,3,,,
뜻입니다,3,,,
것입니다,3,,,
아니한다,2,,,
것입니다,3,,,
하소서,3,,,
하소서,3,,,
"""",1,,,
아뢰었다,1,,,
것입니다,3,,,
것입니다,3,,,
시행하소서,3,,,
말하였다,1,,,
하라,2,,,
"""",1,,,
맞이하였다,1,,,
전하였다,1,,,
부송하오,2,,,
일이겠는가,2,,,
그러하다,2,,,
때문인가,2,,,
것이다,2,,,
것이다,2,,,
것이다,2,,,
알리라,2,,,
보내오,2,,,
배하(拜賀)하였다,1,,,
하였다,1,,,
이러하였다,1,,,
지극하셨습니다,3,,,
때문입니다,3,,,
여깁니다,3,,,
갔습니다,3,,,
것이겠습니까,3,,,
생각했겠습니까,3,,,
어렵겠습니다,3,,,
바치겠습니다,3,,,
"""",1,,,
상소(上疏)하였다,1,,,
생깁니다,3,,,
청합니다,3,,,
죽었다,1,,,
명백합니다,3,,,
없습니다,3,,,
일렀다,2,,,
알겠는가,2,,,
말했겠는가,2,,,
않겠는가,2,,,
것이로다,2,,,
내렸다,2,,,
말라,2,,,
"""",1,,,
일렀다,2,,,
않았다,1,,,
때문인가,1,,,
"""",1,,,
내렸다,1,,,
가석(可惜)하다,1,,,
만하다,2,,,
것이다,1,,,
거행하라,2,,,
"""",1,,,
내렸다,1,,,
여긴다,2,,,
만하다,2,,,
거행하라,2,,,
"""",1,,,
상언(上言)하였다,1,,,
내쫓겼습니다,3,,,
경계하소서,3,,,
윤허하였다,1,,,
말하였다,1,,,
없겠구나,,,,
대답하였다,,,,
함입니다,,,,
말하였다,,,,
있다,,,,
"""",,,,
상소(上疏)하였다,,,,
요구하겠습니까,,,,
근원입니다,,,,
없습니다,,,,
근본입니다,,,,
것입니다,,,,
않겠습니까,,,,
목(目)입니다,,,,
있습니다,,,,
것입니다,,,,
있겠습니까,,,,
못하였습니다,,,,
것입니다,,,,
때문입니다,,,,
일이겠습니까,,,,
하소서,,,,
윤허하였다,,,,
아뢰었다,,,,
하였습니다,,,,
시행하옵소서,,,,
된다,,,,
여깁니다,,,,
있습니다,,,,
까닭입니다,,,,
격언(格言)입니다,,,,
바입니다,,,,
없습니다,,,,
하라,,,,
된다,,,,
했습니다,,,,
있겠습니까,,,,
된다,,,,
여깁니다,,,,
같습니다,,,,
됩니다,,,,
하소서,,,,
내쫓으소서,,,,
이르렀다,,,,
여깁니다,,,,
하소서,,,,
된다,,,,
여깁니다,,,,
한다,,,,
하였습니다,,,,
어긋납니다,,,,
하소서,,,,
된다,,,,
여깁니다,,,,
아니합니다,,,,
하소서,,,,
말하였다,,,,
하라,,,,
"""",,,,
내렸다,,,,
있었다,,,,
크다,,,,
있겠는가,,,,
것이다,,,,
"""",,,,
아뢰었다,,,,
않았습니다,,,,
하소서,,,,
따랐다,,,,
맞이하였다,,,,
전달하였다,,,,
이러하였다,,,,
않는다,,,,
않는다,,,,
아니다,,,,
것이다,,,,
것이다,,,,
하라,,,,
하였소,,,,
보내오,,,,
전달하였다,,,,
이러하였다,,,,
하오,,,,
있었겠는가,,,,
것이오,,,,
버렸소,,,,
않았소,,,,
것이오,,,,
하오,,,,
하례하였다,,,,
하였다,,,,
이러하였다,,,,
복이다,,,,
것이다,,,,
하였습니다,,,,
없었습니다,,,,
간절합니다,,,,
일입니다,,,,
바라옵니다,,,,
아뢰었었다,,,,
않겠습니까,,,,
기뻐하였다,,,,
베풀었다,,,,
일컬었었다,,,,
아뢰었다,,,,
것입니다,,,,
하였다,,,,
올렸다,,,,
이러하였다,,,,
것입니다,,,,
거행합니다,,,,
구비하였습니다,,,,
하였습니다,,,,
하였습니다,,,,
만했습니다,,,,
것입니다,,,,
바라옵니다,,,,
이러하였다,,,,
것입니다,,,,
끼쳤습니다,,,,
실천하였습니다,,,,
법도[懿範]였습니다,,,,
어렵겠습니다,,,,
간절합니다,,,,
바라옵니다,,,,
이러하였다,,,,
것입니다,,,,
올립니다,,,,
주었습니다,,,,
구비하였습니다,,,,
전하였습니다,,,,
것입니다,,,,
주소서,,,,
이러하였다,,,,
것입니다,,,,
하였습니다,,,,
부합하였습니다,,,,
밝힙니다,,,,
현양(顯揚)합니다,,,,
주소서,,,,
"""",,,,
상서(上書)하였다,,,,
원기(元氣)입니다,,,,
것입니다,,,,
길(吉)합니다,,,,
마소서,,,,
좁아집니다,,,,
뜻입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
내렸다,,,,
하라,,,,
"""",,,,
아뢰었다,,,,
것입니다,,,,
하였습니다,,,,
"""",,,,
청하였다,,,,
이러하였다,,,,
이유입니다,,,,
아닙니다,,,,
것입니다,,,,
바라옵니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
그쳐졌습니다,,,,
넉넉해졌습니다,,,,
그쳐졌습니다,,,,
되었습니다,,,,
되었습니다,,,,
막혀졌습니다,,,,
까닭입니다,,,,
조공하였습니다,,,,
변하여졌습니다,,,,
하였습니다,,,,
하였습니다,,,,
돌아왔습니다,,,,
아니하였습니다,,,,
되었습니다,,,,
되겠습니까,,,,
것입니다,,,,
바입니다,,,,
세웠겠습니까,,,,
하였겠습니까,,,,
하였겠습니까,,,,
하였겠습니까,,,,
강론하였겠습니까,,,,
하였겠습니까,,,,
건의(建議)하였겠습니까,,,,
것입니다,,,,
이유이요,,,,
이유입니다,,,,
다행하겠습니다,,,,
있었겠습니까,,,,
중대합니다,,,,
감당하겠습니까,,,,
하소서,,,,
것입니다,,,,
바이옵니다,,,,
없습니다,,,,
품겠습니까,,,,
뿐입니다,,,,
복준다,,,,
것이다,,,,
까닭입니다,,,,
보답하겠습니다,,,,
아니하였다,,,,
하였다,,,,
이러하였다,,,,
못하겠습니다,,,,
어렵겠습니다,,,,
하였습니다,,,,
같습니다,,,,
생각했겠습니까,,,,
없습니다,,,,
뿐이었습니다,,,,
되었습니다,,,,
다하겠습니다,,,,
"""",,,,
내렸다,,,,
하라,,,,
"""",,,,
명령하였다,,,,
것이다,,,,
것이다,,,,
하라,,,,
"""",,,,
상소(上疏)하였다,,,,
바입니다,,,,
출척(黜陟)하였겠습니까,,,,
것입니다,,,,
것입니다,,,,
적겠습니까,,,,
버리겠습니까,,,,
것입니다,,,,
것입니다,,,,
것입니다,,,,
하겠습니까,,,,
것입니다,,,,
말하였다,,,,
하라,,,,
